<eps>	sil 
bực	ɓ ɨ˨˩ k 
ca	k aː˨˥ 
cai	k aː˨˥ j 
cam	k aː˨˥ m 
can	k aː˨˥ ŋ 
canh	k a˨˥ n 
cao	k aː˨˥ w 
cau	k a˨˥ w 
cay	k a˨˥ j 
cha	c aː˨˥ 
chai	c aː˨˥ j 
chan	c aː˨˥ ŋ 
chang	c aː˨˥ ŋ 
chanh	c a˨˥ n 
chao	c aː˨˥ w 
chau	c a˨˥ w 
chay	c a˨˥ j 
che	c ɛː˨˥ 
chen	c ɛː˨˥ ŋ 
cheo	c ɛː˨˥ w 
chi	c i˨˥ 
chia	c iə˨˥ 
chim	c i˨˥ m 
chinh	c ɨ˨˥ n 
chiêm	c iː˨˥ m 
chiên	c iː˨˥ ŋ 
chiêng	c iː˨˥ ŋ 
chiêu	c iː˨˥ w 
chiếc	c iː˦˥ k 
chiếm	c iː˦˥ m 
chiến	c iː˦˥ ŋ 
chiếp	c iː˦˥ p 
chiết	c iː˦˥ k 
chiếu	c iː˦˥ w 
chiền	c iː˦˨ ŋ 
chiều	c iː˦˨ w 
cho	c ɔː˨˥ 
choa	c w aː˨˥ 
chong	c ɔ˨˥ ŋm 
choàng	c w aː˦˨ ŋ 
choáng	c w aː˦˥ ŋ 
choãi	c w aː˨˨ˀ j 
choét	c w ɛː˦˥ k 
choắt	c w a˦˥ k 
chu	c u˨˥ 
chua	c uə˨˥ 
chui	c u˨˥ j 
chum	c ɨ˨˥ m 
chung	c u˨˥ ŋm 
chuyên	c w iː˨˥ ŋ 
chuyến	c w iː˦˥ ŋ 
chuyền	c w iː˦˨ ŋ 
chuyển	c w iː˨˨ˀ ŋ 
chuyện	c w iː˨˩ ŋ 
chuông	c uː˨˥ ŋ 
chuẩn	c w ə˨˨ˀ ŋ 
chuốc	c uː˦˥ k 
chuối	c uː˦˥ j 
chuốt	c uː˦˥ k 
chuồn	c uː˦˨ ŋ 
chuồng	c uː˦˨ ŋ 
chuỗi	c uː˨˨ˀ j 
chuộc	c uː˨˩ k 
chuộng	c uː˨˩ ŋ 
chuột	c uː˨˩ k 
chuỳ	c w i˦˨ 
chà	c aː˦˨ 
chài	c aː˦˨ j 
chàm	c aː˦˨ m 
chàng	c aː˦˨ ŋ 
chào	c aː˦˨ w 
chày	c a˦˨ j 
chác	c aː˦˥ k 
chái	c aː˦˥ j 
chán	c aː˦˥ ŋ 
chánh	c a˦˥ n 
cháo	c aː˦˥ w 
chát	c aː˦˥ k 
cháu	c a˦˥ w 
cháy	c a˦˥ j 
châm	c ə˨˥ m 
chân	c ə˨˥ ŋ 
châu	c ə˨˥ w 
chão	c aː˨˨ˀ w 
chè	c ɛː˦˨ 
chèn	c ɛː˦˨ ŋ 
chèo	c ɛː˦˨ w 
ché	c ɛː˦˥ 
chém	c ɛː˦˥ m 
chén	c ɛː˦˥ ŋ 
chéo	c ɛː˦˥ w 
chép	c ɛː˦˥ p 
chê	c eː˨˥ 
chêm	c eː˨˥ m 
chênh	c əː˨˥ n 
chì	c i˦˨ 
chìa	c iə˦˨ 
chìm	c i˦˨ m 
chí	c i˦˥ 
chích	c ɨ˦˥ t 
chín	c ɨ˦˥ n 
chính	c ɨ˦˥ n 
chíp	c i˦˥ p 
chít	c ɨ˦˥ t 
chòa	c w aː˦˨ 
chòi	c ɔː˦˨ j 
chòm	c ɔː˦˨ m 
chòng	c ɔ˦˨ ŋm 
chó	c ɔː˦˥ 
chóc	c ɔ˦˥ kp 
chóe	c w ɛː˦˥ 
chói	c ɔː˦˥ j 
chóng	c ɔ˦˥ ŋm 
chóp	c ɔː˦˥ p 
chót	c ɔː˦˥ k 
chôm	c oː˨˥ m 
chôn	c o˨˥ ŋ 
chông	c ɔ˨˥ ŋm 
chõ	c ɔː˨˨ˀ 
chù	c u˦˨ 
chùa	c uə˦˨ 
chùi	c u˦˨ j 
chùm	c ɨ˦˨ m 
chùn	c u˦˨ ŋm 
chùng	c u˦˨ ŋm 
